DateTime,AddedIPs,RemovedIPs
1531908214,1,1
1531940605,1,0
1531969419,1,0
1531973005,0,1
1532005381,1,0
1532019814,0,1
1532023408,1,0
1532030599,0,1
1532052204,1,0
1532102601,0,1
1532120591,0,1
1532127798,0,1
1532160192,0,1
1532167423,1,0
1532178191,1,0
1532203438,1,0
1532257422,0,1
1532311391,0,1
1532351004,1,0
1532361823,0,1
1532379798,0,1
1532383377,0,1
1532394183,1,0
1532415799,0,1
1532513047,0,1
1532520208,1,0
1532534608,0,1
1532549005,1,0
1532574156,0,1
1532610197,0,1
1532657013,0,1
1532664216,1,0
1532692999,1,0
1532707396,1,0
1532721831,0,1
1532729020,1,0
1532746992,0,1
1532754192,1,0
1532865760,1,0
1532869347,1,0
1532872944,0,1
1532905337,1,0
1532941332,1,0
1532948525,0,1
1532955707,0,1
1532959327,1,0
1532988125,1,1
1533045699,1,0
1533074516,1,0
1533124901,0,1
1533193326,1,0
1533218535,1,0
1533225733,1,0
1533268932,0,1
1533333737,0,1
1533355335,1,0
1533358942,1,2
1533380532,1,0
1533394925,1,0
1533470510,0,1
1533499288,0,1
1533513718,0,1
1533546111,0,1
1533553298,2,0
1533592902,0,1
1533643314,1,0
1533646905,0,1
1533650533,2,0
1533664897,0,1
1533672119,0,1
1533675701,0,1
1533679293,0,1
1533682931,1,0
1533686498,2,0
1533693702,3,0
1533700915,1,0
1533708122,4,0
1533740524,2,0
1533751323,1,0
1533762120,1,0
1533765729,0,1
1533798119,0,1
1533816129,1,0
1533823332,0,1
1533870140,1,0
1533895332,0,1
1533920534,1,0
1533927732,0,1
1533931338,1,0
1533938537,1,0
1533960128,0,1
1533985337,0,1
1533996135,0,1
1534039350,1,0
1534046523,1,0
1534057331,8,0
1534060939,2,0
1534068136,0,1
1534071723,2,0
1534082542,1,0
1534100531,1,0
1534111339,1,0
1534129347,1,0
1534150899,0,0
1534158104,0,1
1534172503,0,1
1534186916,1,0
1534204904,0,1
1534208513,1,0
1534251708,0,1
1534255314,1,1
1534269734,1,0
1534287716,0,1
1534298503,2,0
1534312892,1,2
1534327298,0,1
1534338112,1,0
1534352509,1,0
1534381327,1,0
1534453293,1,0
1534464099,0,1
1534500101,1,0
1534536102,0,3
1534539726,0,1
1534543309,1,0
1534546904,0,3
1534550503,0,1
1534554055,1,0
1534572126,0,1
1534579322,1,0
1534582919,0,1
1534644105,0,1
1534647723,1,0
1534651287,0,2
1534662108,0,2
1534665683,0,4
1534669322,0,3
1534708892,1,0
1534734082,1,0
1534759245,0,1
1534791637,0,1
1534831307,0,1
1534845651,1,0
1534852867,1,0
1534878034,1,0
1534903256,0,1
1534906859,0,1
1534921247,0,1
1534946460,0,1
1534950040,0,1
1534957256,0,1
1534960868,1,0
1534975267,0,1
1534986031,0,1
1535007627,0,1
1535011230,0,2
1535022048,1,0
1535054425,0,1
1535072428,0,1
1535083469,0,2
1535091039,0,1
1535094615,0,1
1535151838,0,1
1535166216,0,3
1535187817,0,1
1535195009,1,0
1535209420,0,1
1535213007,2,0
1535252609,0,3
1535259820,1,0
1535270583,0,1
1535288596,1,0
1535292146,1,0
1535306594,0,1
1535310218,1,0
1535313794,0,1
1535317391,1,0
1535320982,1,0
1535331823,1,0
1535342607,1,0
1535357023,0,1
1535389398,0,1
1535421792,0,1
1535425407,0,1
1535454210,1,0
1535457796,1,0
1535461428,0,1
1535468603,1,0
1535482975,1,1
1535486573,0,1
1535504593,1,0
1535529806,1,0
1535533405,1,0
1535544187,1,0
1535547815,1,0
1535605402,1,0
1535627024,0,1
1535634213,1,0
1535641404,3,0
1535648584,1,0
1535720610,1,0
1535817802,0,1
1535821399,1,0
1535864613,0,1
1535904233,1,0
1535911422,1,0
1535922236,0,1
1535976242,1,0
1535987011,0,1
1536015827,0,1
1536026619,0,1
1536044631,0,1
1536051825,1,0
1536062616,0,1
1536069815,1,0
1536073423,0,1
1536087855,0,1
1536091440,1,0
1536102216,1,0
1536109434,1,0
1536120230,0,1
1536127413,2,0
1536149014,1,0
1536159820,0,1
1536163408,0,1
1536167017,1,0
1536174234,1,0
1536177841,1,0
1536185025,1,0
1536195820,1,0
1536210211,0,1
1536213806,1,0
1536228236,1,0
1536231812,1,0
1536246240,0,1
1536249803,1,0
1536257014,2,0
1536271421,1,2
1536274995,0,1
1536289409,0,1
1536293036,1,0
1536311018,0,1
1536314646,0,1
1536325413,0,2
1536329009,1,0
1536336216,1,1
1536386635,1,0
1536440652,0,1
1536483832,1,0
1536512631,1,0
1536516220,0,1
1536530623,0,1
1536537797,1,0
1536545045,1,0
1536588214,1,0
1536602597,1,0
1536609834,1,0
1536616967,0,1
1536634993,1,0
1536663857,2,0
1536674600,2,0
1536692599,1,0
1536696200,1,0
1536732207,0,1
1536739442,0,1
1536750214,1,0
1536760992,0,1
1536771842,0,1
1536779009,0,1
1536782615,0,1
1536793423,0,1
1536797033,0,1
1536800639,0,1
1536822218,0,1
1536847414,1,0
1536851013,1,0
1536861815,0,1
1536869038,1,0
1536876224,1,0
1536883453,0,1
1536894229,1,0
1536901409,0,1
1536915822,1,0
1536919434,1,0
1536922979,0,1
1536930224,0,1
1536944626,1,0
1536951845,1,0
1536966218,1,0
1536991414,0,1
1537027417,0,1
1537045444,0,1
1537081458,0,1
1537139045,1,1
1537146211,1,0
1537149805,1,2
1537185816,1,0
1537189435,1,0
1537193010,0,1
1537200235,1,0
1537225410,1,0
1537229025,0,1
1537239814,0,1
1537250619,0,1
1537264994,0,1
1537268623,0,1
1537272231,0,1
1537275917,0,1
1537279457,0,1
1537290242,1,0
1537297363,0,2
1537340641,0,1
1537369418,0,1
1537398228,1,0
1537412659,1,1
1537423415,0,1
1537466635,0,1
1537477457,1,0
1537481049,1,0
1537484643,0,1
1537491861,0,1
1537495453,0,1
1537517054,0,2
1537524245,1,0
1537556574,0,1
1537560206,1,1
1537571026,1,0
1537585442,0,2
1537635835,1,0
1537653843,1,0
1537675459,1,0
1537679014,1,0
1537693416,0,1
1537711431,1,0
1537725819,1,0
1537743777,0,1
1537754645,1,0
1537761828,1,0
1537787050,1,0
1537790644,0,1
1537794260,0,1
1537797829,1,0
1537801437,1,0
1537805057,0,2
1537812231,0,1
1537833838,0,1
1537841021,1,0
1537851835,0,1
1537862595,1,0
1537873406,1,0
1537880635,1,0
1537895032,0,1
1537905834,1,0
1537974251,1,0
1538003010,1,1
1538035427,1,0
1538042627,1,0
1538049813,0,1
1538064224,1,0
1538075027,1,0
1538129046,1,0
1538154236,1,0
1538157861,1,0
1538161417,1,0
1538164974,0,1
1538175817,1,0
1538222631,1,0
1538240647,0,1
1538280246,1,0
1538287439,0,1
1538305424,1,0
1538312637,0,1
1538316210,0,1
1538337826,0,1
1538352232,0,1
1538355838,1,0
1538359392,1,0
1538381049,0,1
1538388261,0,1
1538391826,0,1
1538395419,1,0
1538399049,0,1
1538413436,0,1
1538424205,0,1
1538445830,0,1
1538481826,1,1
1538485408,0,1
1538489041,1,0
1538507047,1,0
1538510658,1,0
1538514225,1,0
1538517831,0,1
1538528642,0,1
1538543040,0,1
1538557439,0,1
1538561032,0,1
1538579032,0,1
1538607846,0,1
1538647454,1,0
1538658245,0,1
1538665445,0,1
1538669052,0,1
1538676233,2,0
1538683421,0,1
1538726624,1,0
1538730211,0,1
1538740980,1,0
1538744586,1,0
1538762627,1,0
1538766232,0,1
1538809424,1,0
1538838190,0,1
1538863420,1,0
1538910237,1,1
1538960619,0,1
1538967822,0,1
1539032618,1,0
1539075848,0,1
1539090231,0,1
1539093830,1,0
1539115432,0,1
1539122611,1,0
1539144239,1,0
1539187412,1,0
1539212658,1,0
1539216232,0,1
1539223419,0,1
1539227024,1,0
1539237847,0,1
1539245053,1,0
1539270230,0,1
1539281041,0,2
1539295446,1,0
1539331434,0,1
1539338630,1,1
1539349446,0,1
1539353034,1,0
1539367421,0,1
1539399834,1,0
1539414231,0,1
1539450234,0,1
1539468224,0,1
1539522178,0,1
1539533042,1,0
1539561842,1,0
1539576238,1,0
1539579838,0,1
1539601434,1,0
1539608659,3,0
1539630255,1,0
1539633846,0,1
1539651853,0,1
1539709435,1,0
1539716638,1,0
1539756221,1,0
1539770651,0,1
1539795826,1,0
1539806638,1,0
1539821066,0,1
1539831803,0,1
1539857034,1,0
1539885845,0,1
1539903824,1,0
1539911043,0,1
1539939836,0,1
1539965037,0,1
1539972250,1,0
1540004654,0,2
1540019045,1,0
1540033454,1,0
1540058637,3,0
1540062249,0,1
1540065843,1,0
1540083848,1,0
1540108990,1,0
1540145055,0,1
1540155847,1,0
1540163024,2,0
1540166641,1,1
1540170246,1,0
1540191853,1,0
1540227835,0,1
1540235034,0,2
1540238644,2,0
1540249454,1,0
1540292620,0,1
1540299840,1,0
1540303442,1,0
1540307014,0,1
1540321430,0,1
1540343031,1,0
1540346648,0,1
1540353809,0,1
1540357441,0,1
1540361017,1,1
1540368241,0,1
1540379009,0,1
1540382622,1,0
1540418636,1,0
1540451028,0,1
