DateTime,Entries,UniqueIPs
1539654184,108,108
1539656938,108,108
1539657766,108,108
1539659152,108,108
1539662212,106,106
1539664128,108,108
1539665817,106,106
1539669340,106,106
1539670496,107,107
1539671747,107,107
1539673005,106,106
1539674157,104,104
1539677694,104,104
1539679027,105,105
1539680137,104,104
1539683447,103,103
1539684656,102,102
1539685859,101,101
1539693320,102,102
1539695158,103,103
1539696337,101,101
1539698216,101,101
1539699291,97,97
1539700536,97,97
1539700964,98,98
1539701801,96,96
1539702946,96,96
1539703789,97,97
1539705137,95,95
1539706248,96,96
1539707437,95,95
1539708632,94,94
1539709838,95,95
1539711774,96,96
1539713024,95,95
1539714501,96,96
1539716760,94,94
1539718187,95,95
1539719801,97,97
1539720943,100,100
1539723345,98,98
1539724550,99,99
1539725739,100,100
1539726890,103,103
1539729735,102,102
1539731685,104,104
1539732519,106,106
1539733666,106,106
1539735037,107,107
1539736189,106,106
1539737441,107,107
1539738881,107,107
1539740559,108,108
1539741835,107,107
1539743328,109,109
1539745034,105,105
1539746183,105,105
1539747348,104,104
1539749098,104,104
1539752218,107,107
1539753284,109,109
1539754131,108,108
1539755795,109,109
1539756958,110,110
1539758139,111,111
1539759975,109,109
1539760487,110,110
1539763003,110,110
1539764155,108,108
1539765005,107,107
1539766194,106,106
1539767697,106,106
1539769008,104,104
1539770144,103,103
1539772550,102,102
1539774946,102,102
1539777356,101,101
1539778550,101,101
1539780996,104,104
1539782159,103,103
1539783347,102,102
1539784660,101,101
1539786054,102,102
1539787262,101,101
1539788753,101,101
1539790128,102,102
1539792941,103,103
1539794561,102,102
1539798162,102,102
1539799008,103,103
1539800073,116,116
1539801299,117,117
1539802592,115,115
1539803678,114,114
1539804828,114,114
1539807344,115,115
1539808856,114,114
1539809989,114,114
1539812448,113,113
1539814558,114,114
1539816054,114,114
1539818155,114,114
1539819779,116,116
1539821443,116,116
1539822514,117,117
1539824218,115,115
1539825286,116,116
1539826200,109,109
1539827745,110,110
1539828876,111,111
1539830206,110,110
1539831902,111,111
1539833409,111,111
1539836147,111,111
1539836998,110,110
1539837779,113,113
1539838614,113,113
1539839760,113,113
1539843282,114,114
1539845159,116,116
1539848590,116,116
1539850476,117,117
1539851801,116,116
1539854090,115,115
1539855554,114,114
1539857692,113,113
1539859384,112,112
1539860211,108,108
1539861351,104,104
1539862857,102,102
1539864657,100,100
1539866588,101,101
1539870347,99,99
1539871796,99,99
1539872991,97,97
1539875153,99,99
1539875682,100,100
1539879278,98,98
1539880962,99,99
1539882873,100,100
1539884438,102,102
1539885399,104,104
1539886553,103,103
1539888057,103,103
1539889537,102,102
1539890731,103,103
1539891936,102,102
1539893241,99,99
1539894350,99,99
1539894590,98,98
1539896204,98,98
1539897347,97,97
1539898960,96,96
1539900657,94,94
1539900891,95,95
1539902145,94,94
1539903344,96,96
1539904485,93,93
1539905387,95,95
1539908084,93,93
1539909660,93,93
1539910600,91,91
1539912528,90,90
1539914603,89,89
1539917816,94,94
1539919795,94,94
1539921423,96,96
1539924191,94,94
1539926085,93,93
1539927658,91,91
1539931414,90,90
1539933292,91,91
1539934201,92,92
1539935801,91,91
1539937809,92,92
1539938592,93,93
1539940483,91,91
1539942172,91,91
1539944160,92,92
1539944990,93,93
1539947699,95,95
1539951061,99,99
1539951284,100,100
1539952190,98,98
1539953441,99,99
1539954650,99,99
1539955844,98,98
1539956997,99,99
1539960052,102,102
1539960994,103,103
1539962114,106,106
1539962934,104,104
1539966540,102,102
1539968161,104,104
1539969352,103,103
1539971136,101,101
1539972886,100,100
1539974573,102,102
1539975939,100,100
1539977338,101,101
1539979846,100,100
1539981351,99,99
1539982591,97,97
1539983746,98,98
1539984951,95,95
1539986200,97,97
1539988544,96,96
1539989730,95,95
1539991726,96,96
1539994502,96,96
1539995822,95,95
1539998158,93,93
1539999741,92,92
1540001452,93,93
1540003251,95,95
1540004746,98,98
1540006958,99,99
1540008898,99,99
1540010581,98,98
1540011955,100,100
1540013920,99,99
1540015787,98,98
1540017656,95,95
1540019691,94,94
1540021255,94,94
1540022634,93,93
1540024186,93,93
1540024965,92,92
1540026954,93,93
1540030482,94,94
1540032050,95,95
1540033274,94,94
1540036008,92,92
1540037458,95,95
1540038945,95,95
1540040213,94,94
1540041347,92,92
1540042974,94,94
1540044653,94,94
1540046137,94,94
1540046572,92,92
1540048479,94,94
1540050180,93,93
1540051843,94,94
1540053217,91,91
1540054594,92,92
1540055723,91,91
1540057376,90,90
1540059277,88,88
1540060541,90,90
1540062242,93,93
1540064133,93,93
1540065390,94,94
1540067384,93,93
1540068730,94,94
1540070092,95,95
1540070984,94,94
1540072600,95,95
1540073745,97,97
1540075385,96,96
1540077308,96,96
1540078196,96,96
1540078981,96,96
1540080873,98,98
1540082577,101,101
1540083949,105,105
1540085449,104,104
1540087873,102,102
1540089343,103,103
1540090599,105,105
1540091763,106,106
1540095275,105,105
