DateTime,AddedIPs,RemovedIPs
1539195390,4,0
1539199254,1,0
1539201138,4,0
1539203076,2,0
1539206893,3,1
1539208893,4,2
1539210741,1,1
1539212656,2,7
1539214591,4,3
1539216526,4,4
1539218412,3,2
1539220595,1,3
1539222492,1,4
1539224423,6,2
1539226361,1,3
1539228258,5,5
1539230170,0,3
1539232117,1,3
1539234086,1,0
1539235966,2,0
1539237890,0,3
1539239821,0,3
1539241830,1,7
1539243640,2,1
1539245546,1,3
1539247465,0,2
1539249387,2,1
1539251297,1,1
1539253245,1,2
1539255150,1,1
1539257052,0,6
1539258998,4,0
1539261147,3,1
1539263076,4,4
1539264972,1,2
1539266906,3,3
1539268837,0,2
1539270748,5,5
1539272659,1,1
1539274848,2,1
1539276736,1,1
1539278658,3,1
1539280594,1,3
1539282502,0,2
1539284485,1,0
1539286349,3,3
1539288272,2,3
1539290176,1,1
1539292122,1,1
1539294041,3,3
1539295939,0,4
1539299798,3,3
1539301727,0,5
1539303723,0,4
1539305564,0,1
1539307472,1,1
1539309399,1,4
1539311320,2,3
1539313273,1,2
1539315137,3,4
1539318982,1,1
1539320931,1,1
1539322834,1,2
1539324749,3,0
1539326682,2,1
1539328610,2,0
1539330742,1,3
1539332688,1,0
1539334593,1,1
1539336495,0,1
1539338487,1,1
1539340379,0,1
1539342263,2,1
1539344184,0,3
1539346122,0,1
1539348053,0,3
1539349942,1,5
1539351895,0,1
1539353802,0,2
1539355975,0,2
1539357874,0,4
1539359811,1,0
1539361718,1,2
1539364610,1,4
1539366493,0,1
1539370360,2,1
1539372295,2,3
1539374169,3,1
1539376113,1,1
1539378082,1,2
1539379957,0,3
1539381880,2,0
1539383772,3,0
1539385970,0,3
1539387855,1,0
1539391695,3,0
1539393639,0,1
1539395566,1,1
1539397473,0,2
1539399375,0,1
1539401313,0,2
1539403300,0,1
1539405170,0,1
1539407081,0,1
1539409003,0,1
1539410922,1,3
1539412835,1,1
1539414762,1,2
1539416782,0,2
1539418599,0,1
1539420496,9,1
1539424339,2,1
1539426274,2,0
1539428170,0,2
1539430111,1,0
1539432105,2,0
1539433956,1,0
1539436033,0,1
1539438010,1,0
1539440206,1,0
1539442131,1,0
1539444267,1,0
1539446201,1,1
1539448147,2,1
1539450071,0,1
1539453906,1,0
1539455800,1,1
1539457705,1,3
1539459621,2,3
1539461552,0,1
1539463464,2,0
1539465397,2,1
1539467326,1,0
1539469227,1,3
1539471147,1,2
1539473072,1,1
1539476905,1,2
1539478873,1,1
1539480747,0,1
1539484581,2,0
1539496103,3,0
1539498055,1,1
1539499958,0,1
1539501869,0,1
1539505950,1,9
1539509781,0,2
1539511705,1,1
1539513627,0,1
1539517485,2,2
1539519398,2,1
1539521304,1,1
1539525142,0,1
1539527065,1,1
1539529534,0,1
1539531414,0,1
1539533360,1,2
1539535255,0,1
1539539099,0,1
1539542930,0,2
1539546770,0,2
1539548688,0,1
1539550606,0,2
1539552524,0,1
1539554537,1,1
1539556432,1,2
1539558797,0,1
1539562620,0,1
1539564533,2,1
1539570409,0,1
1539572243,0,1
1539576116,2,0
1539581792,0,2
1539583739,0,1
1539585654,1,1
1539587559,1,0
1539591564,0,1
1539593576,1,0
1539599320,0,1
1539603165,1,1
1539605141,0,3
1539607002,1,1
1539608941,1,0
1539614674,0,1
1539616850,1,0
1539618767,0,1
1539624529,1,0
1539626493,2,0
1539632447,1,0
1539634367,1,0
1539638191,2,0
1539640126,1,1
1539642275,1,1
1539646112,2,0
1539648040,2,0
1539649972,0,1
1539651895,3,1
1539653805,2,0
1539657641,1,0
1539659579,1,0
1539661484,0,2
1539667234,1,0
1539671099,0,1
1539673004,1,0
1539674914,5,1
1539676904,1,0
1539678890,3,0
1539681163,1,1
1539683093,3,0
1539684994,2,0
1539686923,1,0
1539688833,1,1
1539692688,2,1
1539694598,1,0
1539696510,1,1
1539698490,2,0
1539700351,3,0
1539702396,2,1
1539704429,1,0
1539706643,2,0
1539708758,4,0
1539710676,2,1
1539712889,0,2
1539714744,1,0
1539718595,1,1
1539720525,2,1
1539722435,1,0
1539724615,8,2
1539726512,1,1
1539728423,1,1
1539730603,1,0
1539732503,0,2
1539734455,1,2
1539738296,0,3
1539740182,0,2
1539744025,0,1
1539745954,0,1
1539753622,0,1
1539757501,2,0
1539759382,4,1
1539761321,1,5
1539763293,1,1
1539765163,0,3
1539767068,2,0
1539768973,0,4
1539770914,1,2
1539773068,1,1
1539774993,0,1
1539776903,1,0
1539778840,2,2
1539780766,1,0
1539782682,1,2
1539784588,0,2
1539786502,0,3
1539788488,0,1
